Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-October-2020,1231.00,1250.50,1222.20,1247.05,1237.736030002250701513,750877,22180,929387517.00,420274,55.97,28.30,16.05
20-October-2020,1212.00,1227.00,1205.35,1224.15,1218.113657181846065889,479257,10377,583789497.00,280426,58.51,21.65,12.15
19-October-2020,1220.00,1228.80,1193.00,1203.35,1206.846478759922763355,820336,24011,990019613.00,140712,17.15,35.80,-16.65
16-October-2020,1182.00,1203.00,1172.95,1199.00,1192.024235946041570116,401346,12293,478414159.00,212464,52.94,30.05,17.00
15-October-2020,1214.80,1216.45,1164.40,1169.15,1190.369655688348648570,382299,11771,455077129.00,154798,40.49,52.05,-45.65
14-October-2020,1193.30,1214.80,1175.85,1210.85,1193.664696613101193779,246863,8946,294671648.00,51586,20.90,38.95,17.55
13-October-2020,1214.15,1221.50,1195.10,1198.15,1206.639666539151344127,201283,6118,242876052.00,43263,21.49,26.40,-16.00
12-October-2020,1235.00,1242.50,1206.00,1213.40,1230.209826880110856822,2023511,21367,2489343117.00,1611203,79.62,36.50,-21.60
9-October-2020,1200.00,1236.95,1191.90,1233.70,1217.994104142209131893,1151656,39316,1402710218.00,413708,35.92,45.05,33.70
8-October-2020,1175.55,1203.00,1165.00,1191.90,1187.567455103593215854,665198,18023,789967496.00,303919,45.69,38.00,16.35
7-October-2020,1145.00,1164.75,1137.50,1162.00,1154.572718467955717962,518314,23469,598431204.00,200515,38.69,27.25,17.00
6-October-2020,1131.70,1148.00,1126.30,1144.20,1137.800976805774391657,254503,10191,289573762.00,76565,30.08,21.70,12.50
5-October-2020,1111.00,1131.45,1110.65,1114.15,1122.302057928599633010,258318,10131,289910823.00,74079,28.68,20.80,3.15
1-October-2020,1085.00,1109.75,1085.00,1106.60,1099.941045406567592825,512547,21758,563771483.00,222311,43.37,24.75,21.60
30-September-2020,1055.10,1086.55,1052.55,1079.20,1071.668798009148709686,278072,8841,298001086.00,44523,16.01,34.00,24.10
29-September-2020,1058.90,1069.90,1051.00,1062.50,1060.191161740623559152,125794,5262,133365687.00,17490,13.90,18.90,3.60
28-September-2020,1050.00,1059.00,1042.90,1054.05,1051.100853814059403586,1177774,10690,1237959257.00,990011,84.06,16.10,4.05
25-September-2020,1053.00,1053.00,1026.25,1044.05,1037.581348478631112983,275377,8350,285726039.00,104896,38.09,26.75,-8.95
24-September-2020,1036.50,1045.05,1025.15,1029.95,1036.854187648356061023,308801,15549,320181610.00,102326,33.14,19.90,-6.55
23-September-2020,1040.00,1055.00,1034.65,1047.55,1046.135920421156407764,361101,13609,377760727.00,93152,25.80,20.35,7.55
22-September-2020,1050.00,1058.00,1030.00,1036.00,1041.641460845605167987,249691,9685,260088498.00,62821,25.16,28.00,-14.00
21-September-2020,1052.00,1071.20,1041.15,1048.70,1058.279373088623243149,495062,19510,523913903.00,123284,24.90,30.05,-3.30
18-September-2020,1090.00,1092.15,1047.30,1057.40,1067.440163267086344009,275132,9568,293686947.00,79453,28.88,44.85,-32.60
17-September-2020,1088.00,1094.35,1077.85,1083.25,1089.310264743830537817,612290,6304,666973782.00,381196,62.26,16.50,-4.75
16-September-2020,1069.75,1095.50,1069.75,1093.50,1083.664432461742378599,531136,14730,575573192.00,151614,28.55,25.75,23.75
15-September-2020,1066.00,1076.00,1058.40,1070.90,1067.057973667602865442,207577,6126,221496693.00,30067,14.48,17.60,4.90
14-September-2020,1090.00,1093.90,1053.20,1057.90,1072.360515627887092274,276013,8861,295985443.00,62987,22.82,40.70,-32.10
11-September-2020,1094.00,1104.95,1071.10,1078.50,1085.278487782495988871,342173,15164,371352996.00,77989,22.79,33.85,-15.50
10-September-2020,1105.00,1105.00,1084.00,1090.65,1095.647256584389849747,207916,6422,227802595.00,39279,18.89,21.00,-14.35
9-September-2020,1101.00,1111.05,1091.70,1095.70,1099.209731075697211155,200800,5351,220721314.00,24553,12.23,19.35,-5.30
8-September-2020,1115.80,1119.00,1104.25,1112.05,1112.283983676504434962,451864,6804,502601090.00,272674,60.34,14.75,-3.75
7-September-2020,1088.10,1119.95,1088.10,1109.30,1109.773385230758192678,334506,11464,371225856.00,58722,17.55,31.85,21.20
4-September-2020,1106.00,1124.50,1104.55,1119.80,1113.573233395964381994,244820,7648,272624999.00,43739,17.87,19.95,13.80
3-September-2020,1135.00,1145.75,1128.10,1130.70,1139.059505178922913103,247928,9286,282404745.00,101813,41.07,17.65,-4.30
2-September-2020,1122.05,1138.55,1120.35,1134.20,1131.900512889238818763,358167,10477,405409411.00,191164,53.37,18.20,12.15
1-September-2020,1122.00,1143.55,1109.05,1127.35,1127.253488666645143184,402661,13490,453901017.00,134599,33.43,34.50,5.35
31-August-2020,1125.20,1148.00,1100.75,1115.20,1125.570482215739399776,1154504,36458,1299475624.00,410274,35.54,47.25,-10.00
28-August-2020,1111.95,1124.95,1095.05,1115.00,1111.910257158608165515,462555,12375,514319649.00,101623,21.97,29.90,3.05
27-August-2020,1128.00,1129.65,1106.10,1111.95,1117.646872396950026369,202887,6077,226756021.00,48714,24.01,23.55,-16.05
26-August-2020,1120.05,1131.50,1109.60,1117.70,1118.586653809064609450,414800,12041,463989744.00,112368,27.09,21.90,-2.35
25-August-2020,1120.00,1127.50,1107.00,1119.85,1117.317373583692048884,323376,8782,361313623.00,53240,16.46,20.50,-0.15
24-August-2020,1086.00,1122.55,1086.00,1116.80,1111.536977040174133576,854057,34063,949315936.00,406516,47.60,36.55,30.80
21-August-2020,1060.25,1088.25,1060.25,1085.70,1082.615238885149757862,441279,10649,477735370.00,144227,32.68,28.00,25.45
20-August-2020,1054.00,1067.35,1052.35,1058.60,1059.550296930325926338,502138,14935,532040467.00,207045,41.23,15.00,4.60
19-August-2020,1062.60,1069.70,1056.40,1067.40,1065.001270791952019316,361979,8393,385508095.00,124314,34.34,13.30,4.80
18-August-2020,1028.10,1061.00,1021.45,1056.45,1042.454279284297778470,897580,20676,935686112.00,294092,32.76,39.55,28.35
17-August-2020,1045.05,1050.00,1020.50,1033.55,1031.602790378032542583,535483,20288,552405757.00,161179,30.10,29.50,-11.50
14-August-2020,1068.00,1068.00,1027.60,1034.45,1049.029374893761686214,564768,15356,592458222.00,332636,58.90,40.40,-33.55
13-August-2020,1065.35,1071.00,1056.55,1058.95,1065.110551708691838220,428632,12152,456540466.00,164636,38.41,14.45,-6.40
12-August-2020,1064.00,1066.00,1048.40,1063.75,1057.050966309741446852,382900,14584,404744815.00,86906,22.70,17.60,-0.25
11-August-2020,1051.00,1071.00,1049.00,1067.60,1063.447397451714129216,781388,18689,830965035.00,352144,45.07,22.00,16.60
10-August-2020,1041.70,1064.10,1041.70,1051.00,1056.448332255951519251,697679,21507,737061816.00,285356,40.90,22.40,9.30
7-August-2020,1036.00,1047.00,1022.50,1044.00,1034.715737209709855887,599185,13422,619986149.00,263104,43.91,24.50,8.00
6-August-2020,1040.00,1054.60,1026.65,1040.55,1041.661832781073846157,851351,26921,886819843.00,227325,26.70,27.95,0.55
5-August-2020,1050.80,1055.60,1020.00,1027.85,1035.103161143008421993,483496,14664,500468238.00,124324,25.71,35.60,-22.95
4-August-2020,1005.90,1059.90,1003.10,1041.40,1040.791106476025206576,1061469,30293,1104767495.00,285904,26.93,56.80,35.50
3-August-2020,1030.00,1030.00,994.00,1001.95,1008.176945744858719277,669872,19899,675349507.00,331729,49.52,36.00,-28.05
31-July-2020,1053.55,1056.25,1020.60,1032.65,1031.583852522825684148,804138,23169,829535776.00,379115,47.15,35.65,-20.90
30-July-2020,1071.20,1083.35,1047.00,1050.45,1062.438115797813900542,907461,28383,964121155.00,492700,54.29,36.35,-20.75
29-July-2020,1083.80,1088.40,1056.00,1065.20,1070.780155148351548764,662076,16036,708937842.00,405063,61.18,32.40,-18.60
28-July-2020,1079.05,1094.25,1059.30,1086.25,1081.699319409867762630,440647,13984,476647560.00,81868,18.58,34.95,7.20
27-July-2020,1097.85,1101.40,1075.80,1079.05,1085.194578807814770848,721096,22843,782529470.00,342053,47.44,25.60,-18.80
24-July-2020,1121.00,1122.25,1101.45,1118.80,1113.179770935767225612,687842,19494,765691800.00,350555,50.96,20.80,-2.20
23-July-2020,1125.00,1143.30,1116.45,1130.70,1132.817984130745802283,455724,19074,516252343.00,153834,33.76,26.85,5.70
22-July-2020,1140.00,1141.55,1118.00,1126.40,1124.763881000676132521,665550,20810,748586601.00,360371,54.15,23.55,-13.60
21-July-2020,1150.00,1157.85,1135.00,1139.60,1142.520703904178389675,840228,18745,959977886.00,383391,45.63,22.85,-10.40
20-July-2020,1142.00,1152.65,1124.65,1132.80,1137.730197399743636696,2047875,57166,2329929228.00,643259,31.41,28.00,-9.20
17-July-2020,1061.45,1103.85,1059.00,1099.15,1076.698273214496379415,1025663,15563,1104329581.00,705279,68.76,44.85,37.70
16-July-2020,1052.70,1065.55,1034.40,1062.35,1049.100141630216947478,319847,10795,335551533.00,43771,13.68,31.15,9.65
15-July-2020,1066.15,1078.95,1050.35,1052.70,1067.352160374636252833,696569,16968,743484427.00,337502,48.45,28.60,-13.45
14-July-2020,1064.00,1069.95,1050.00,1059.20,1056.962894621918629001,670927,26764,709144944.00,237631,35.42,19.95,-4.80
13-July-2020,1109.00,1114.05,1071.20,1080.40,1084.425522637153039200,637536,23816,691360310.00,267171,41.91,42.85,-28.60
10-July-2020,1122.00,1122.00,1100.00,1105.35,1108.543939060589557056,277259,12853,307353784.00,65664,23.68,22.00,-16.65
9-July-2020,1115.05,1130.00,1107.15,1125.70,1121.645629705748671027,253015,7937,283793169.00,48294,19.09,22.85,10.65
8-July-2020,1105.00,1124.35,1105.00,1109.35,1115.958939415760543433,333288,11527,371935723.00,62533,18.76,19.35,4.35
7-July-2020,1106.05,1111.75,1093.15,1105.00,1101.974947826632153125,334941,12241,369096591.00,105636,31.54,18.60,-1.05
6-July-2020,1106.10,1118.85,1100.00,1102.95,1108.750012058230290274,912240,33421,1011446111.00,275197,30.17,18.85,-3.15
3-July-2020,1090.70,1100.00,1069.80,1074.20,1078.970980757976441391,454526,18015,490420364.00,83051,18.27,30.20,-16.50
2-July-2020,1091.00,1110.75,1085.50,1089.70,1098.605554087542760832,560092,23138,615320182.00,163018,29.11,25.25,-1.30
